Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Label
1861.0,-21268.0,528.0,5332.0,138.0,8378.0,-3392.0,0
1883.0,-9692.0,5360.0,5932.0,1051.0,3631.0,1407.0,0
1905.0,-8652.0,2820.0,5424.0,-3632.0,-2896.0,975.0,0
1927.0,-8380.0,1196.0,3524.0,-4433.0,-8386.0,1368.0,0
1949.0,-8800.0,2076.0,2696.0,-5066.0,-13338.0,2250.0,0
1971.0,-10728.0,2000.0,2344.0,-5165.0,-18558.0,2362.0,0
1993.0,-12768.0,364.0,656.0,-6445.0,-22792.0,2706.0,0
2015.0,-15788.0,868.0,-40.0,-8376.0,-25990.0,2976.0,0
2037.0,-18552.0,1336.0,-1964.0,-7838.0,-28564.0,2865.0,0
2059.0,-20000.0,2352.0,-3880.0,-6665.0,-30036.0,3496.0,0
2081.0,-22336.0,2200.0,-4820.0,-8383.0,-30775.0,2976.0,0
2103.0,-24016.0,1880.0,-4680.0,-8292.0,-31028.0,3029.0,0
2125.0,-24828.0,2136.0,-4528.0,-7838.0,-30868.0,1690.0,0
2147.0,-25016.0,1672.0,-4828.0,-7047.0,-29722.0,834.0,0
2169.0,-25816.0,2220.0,-5752.0,-2444.0,-28084.0,1000.0,0
2191.0,-24740.0,1972.0,-8476.0,-449.0,-24880.0,816.0,0
2213.0,-23484.0,944.0,-10788.0,1284.0,-22237.0,932.0,0
2235.0,-22128.0,-1720.0,-18704.0,4029.0,-19052.0,3253.0,0
2257.0,-17540.0,80.0,-17928.0,2229.0,-15803.0,2957.0,0
2279.0,-13588.0,-2056.0,-15120.0,2949.0,-9753.0,803.0,0
2301.0,-13568.0,-1924.0,-15452.0,4469.0,-2162.0,-706.0,0
2323.0,-15448.0,-1624.0,-13424.0,4911.0,4767.0,-392.0,0
2345.0,-17716.0,720.0,-12760.0,8092.0,9351.0,621.0,0
2367.0,-23172.0,-392.0,9164.0,4440.0,5689.0,-1715.0,0
2389.0,-12644.0,-3712.0,18404.0,-1196.0,8464.0,-1041.0,0
2411.0,-18184.0,-3032.0,-5328.0,2166.0,12012.0,-1263.0,0
2433.0,-18996.0,728.0,-1684.0,3485.0,11273.0,1232.0,0
2455.0,-22584.0,8952.0,-5840.0,-1709.0,10683.0,2593.0,0
2477.0,-20112.0,1724.0,3256.0,-6766.0,8914.0,615.0,0
2499.0,-13784.0,1244.0,864.0,-3125.0,9976.0,489.0,0
2521.0,-17268.0,664.0,-124.0,-290.0,8952.0,751.0,0
2543.0,-16880.0,1132.0,-16.0,2347.0,8262.0,1740.0,0
2565.0,-16884.0,2404.0,-68.0,1269.0,7418.0,2479.0,0
2587.0,-16080.0,3812.0,-100.0,-2329.0,5996.0,629.0,0
2609.0,-15884.0,3272.0,-824.0,-4007.0,5969.0,81.0,0
2631.0,-16236.0,2996.0,-1224.0,-5951.0,6231.0,-37.0,0
