Timestamp,Ax,Ay,Az,Gx,Gy,Gz
4083,-16700,4304,-788,534,3246,3095
4105,-16132,4572,-1260,-1760,1473,575
4127,-15964,4168,-652,-1970,98,-468
4149,-15952,3852,-516,27,531,-537
4171,-15864,3576,-980,1503,622,-275
4193,-15772,3744,-24,674,571,-759
4215,-15384,3632,-288,-471,950,-823
4237,-15012,3600,-472,847,1930,-249
4259,-16552,3048,-788,-1043,1509,-753
4281,-16124,3176,-656,-538,1827,-1523
4303,-15872,2192,-668,-503,2010,-1697
4325,-16260,2284,-1112,-1202,2132,-1994
4347,-16396,988,-772,-1160,2651,-1080
4369,-16156,2372,-828,-1129,3652,-302
4391,-16076,2336,-1016,-2052,5124,-576
4413,-17276,2688,-208,-2524,7033,-1416
4435,-22652,-312,4216,-1619,1179,-3143
4457,-16868,5360,-344,-368,8401,-1108
4479,-20928,7712,4212,2344,9928,392
4501,-17860,8468,11416,3719,7459,1523
4523,-12020,6788,17972,-10423,-1084,1125
4545,-12220,1584,13116,-11669,-8986,197
4567,-13436,400,4976,-5128,-13245,-1280
4589,-17312,1080,-1496,-6146,-11523,-2987
4611,-22416,-320,-13144,3444,-9762,-3029
4633,-18152,7416,-15628,-23,-5155,3026
4655,-16296,3864,-6448,-5213,-5503,-627
4677,-14948,-2448,-5488,1397,-5216,-2296
4699,-15384,2212,-1436,4656,-5831,902
4721,-16724,2704,-1080,7196,-7396,-1867
4743,-16864,3824,-9516,10517,-7191,-20
4765,-16328,2816,4492,7586,-8468,-945
4787,-13620,-408,7460,7776,-8879,-2171
4809,-15524,4260,-112,7132,-6523,4015
4831,-16496,4280,-4328,-661,-5363,3857
4853,-16884,2564,-2860,-3406,-4603,1661
4875,-15880,828,-632,-1332,-2650,-323
4897,-14664,1096,4280,663,-614,632
4919,-13268,3896,4748,2193,-1028,4428
4941,-14548,5900,-420,-6281,-535,4345
4963,-17632,3380,2508,-10540,-2582,-1670
4985,-15172,8,-3012,-1617,-1470,-3319
5007,-13964,2332,-1432,1485,2994,-463
5029,-12784,2328,-32,-4707,6552,-1030
5051,-15668,216,-3908,-9754,7616,-1826
5073,-16748,3352,3612,-5331,3531,1053
5095,-13692,1564,6060,-3323,-4,-2057
5117,-14772,2052,2332,-3234,-1109,647
5139,-13316,1728,4,40,-173,2549
5161,-12048,-1052,-2876,-454,3894,1159
5183,-18308,3640,-11124,-4808,7823,1242
5205,-21800,15152,10304,-9386,991,2278
5227,-18164,10632,552,-9115,9256,-1606
5249,-17400,-6916,-244,-6801,6218,-4564
5271,-17760,-4508,532,2007,1676,-762
5293,-16668,-516,80,2880,3608,1878
5315,-18544,1968,-1616,5137,3473,3233
5337,-16348,4100,-968,547,2341,2639
5359,-16280,3656,-1056,106,1730,1049
5381,-15660,3704,-904,604,2729,903
5403,-16268,3608,-176,399,4014,1028
5425,-16332,4364,-1564,-1234,4011,10
5447,-16044,3484,-1600,-3211,2814,-1172
5469,-15956,3068,-1380,-4164,2447,-1416
5491,-15896,2936,-1504,-3580,2460,-1583
5513,-15976,3032,-1960,-2127,2000,-1004
5535,-16196,2368,-1184,-2734,2259,-1794
5557,-16452,2888,-1388,-2713,2222,-2065
5579,-16452,3032,-1732,-2933,3083,-2683
5601,-16368,2012,-1432,-2720,4021,-2243
5623,-20248,1340,2832,3329,-3016,-867
5645,-17008,-4208,-1884,3439,-4323,-3251
5667,-16984,3268,-2648,5700,6358,-598
5689,-19368,6312,584,3958,8768,670
5711,-20916,6668,4364,1494,9097,-351
5733,-15492,6460,14448,-3700,3174,1704
5755,-13428,5700,11256,-8694,-4438,1934
5777,-13776,1884,4564,-7288,-8233,-77
5799,-15760,772,-840,-3329,-8854,-211
5821,-17616,2140,-7328,-2400,-6835,1051
5843,-16484,2820,-11200,-4492,-4715,1369
5865,-16192,-420,-5732,-3158,-4152,-683
5887,-15076,576,-2616,445,-3036,-693
5909,-14236,1872,1504,4592,-2990,-764
5931,-15720,168,68,8658,-4745,-1374
5953,-17500,2860,-9368,6769,-6122,1834
5975,-17144,6356,-180,264,-7624,1851
5997,-16404,1520,1320,-557,-6498,-1396
6019,-14980,4436,2928,2818,-6289,1425
6041,-16092,3848,3548,4162,-6360,2173
6063,-16808,4552,-2144,3894,-5273,3156
6085,-16612,2256,-7652,205,-3964,2184
6107,-16108,-1420,-3188,1249,-1511,-248
6129,-14384,972,-2184,484,1090,1137
6151,-14864,984,1944,-2181,1945,391
6173,-17116,2220,-680,-4203,1393,774
6195,-17756,4368,2512,-4359,576,774
6217,-17944,2076,-128,63,969,-1177
6239,-15492,4224,4204,358,2215,103
6261,-14248,2616,7168,-2041,342,817
6283,-14928,3104,5048,-4316,-2803,1301
6305,-15516,3856,3536,-5295,-4907,641
6327,-14816,1828,-1728,-2256,-4696,117
6349,-13380,1308,-5500,242,-2246,1065
6371,-12436,184,-4388,-1913,426,1197
6393,-12164,1052,-7576,-6969,3046,-471
6415,-12596,328,-4988,-7364,2814,-1270
6437,-14268,2164,560,-3570,3005,-2797
6459,-14880,10504,17896,-1281,-213,-2494
6481,-16092,2152,10776,-2324,2949,-3730
6503,-24972,19408,-22640,13477,16244,9132
6525,-32768,5464,7812,-4033,-8039,-4630
6547,-5640,-3592,-1228,-5033,4841,-5039
6569,-17404,-1972,-588,4778,2211,2044
6591,-16780,2332,-20,3813,3265,3437
6613,-14964,6092,-888,1003,3549,1842
6635,-15608,4436,-1240,503,3347,-46
6657,-16376,2992,-1064,1054,3741,-60
6679,-16620,2652,-464,663,3365,-142
6701,-17516,2352,-1376,4935,1120,57
6723,-15748,3580,-1984,2200,1049,-419
6745,-15908,3748,-892,-334,1415,-1129
6767,-15740,3200,-1580,-1135,2110,-1277
6789,-16184,2464,-1776,-1259,2333,-1227
6811,-16052,2348,-1596,-2015,2855,-1071
6833,-16140,2120,-1388,-3352,3869,-1200
6855,-16492,2240,-1328,-3007,4900,-1142
6877,-16312,1240,-1516,-2758,6881,-1409
6899,-19796,1748,2384,78,4815,-533
6921,-22004,3932,5008,6681,-1416,389
6943,-16384,8192,-148,6879,6419,-201
6965,-19984,5540,-5516,2231,8287,-807
6987,-17748,3452,-3552,-39,8371,-963
7009,-14324,4380,4728,-3486,5764,542
7031,-10968,4720,7552,-8135,1094,-163
7053,-13264,1268,4712,-7433,-4428,-587
7075,-14856,308,2912,336,-8118,-1341
7097,-17232,628,-20,3791,-9726,-819
7119,-18496,3724,-4124,2454,-8432,404
7141,-16780,4564,-5004,-2519,-7416,10
7163,-15476,2208,1216,-3751,-8112,-584
7185,-15444,1564,2148,-2496,-9478,-57
7207,-17524,2496,-3416,570,-10788,1157
7229,-19860,1556,-12828,1394,-9907,2487
7251,-16876,5308,-12252,-3531,-7882,2657
7273,-16148,-364,-512,1542,-7663,-3037
7295,-14996,-1228,1300,8922,-6760,-2890
